iter	Passed	Remaining
0	145	29053
1	149	14802
2	154	10160
3	160	7876
4	166	6484
5	171	5540
6	176	4853
7	180	4342
8	186	3957
9	191	3639
10	197	3387
11	202	3175
12	207	2989
13	213	2836
14	218	2697
15	224	2582
16	230	2480
17	235	2384
18	241	2297
19	246	2216
20	252	2151
21	257	2086
22	263	2026
23	268	1967
24	273	1916
25	278	1866
26	286	1834
27	291	1791
28	296	1750
29	305	1728
30	310	1695
31	316	1659
32	320	1622
33	325	1589
34	330	1559
35	336	1531
36	343	1513
37	349	1488
38	354	1463
39	359	1438
40	364	1414
41	370	1392
42	375	1371
43	380	1349
44	385	1328
45	390	1308
46	395	1288
47	401	1269
48	405	1250
49	411	1234
50	416	1217
51	421	1201
52	427	1184
53	432	1169
54	438	1154
55	442	1139
56	448	1124
57	453	1110
58	459	1096
59	464	1083
60	469	1070
61	474	1056
62	480	1044
63	485	1031
64	491	1020
65	497	1009
66	501	996
67	507	985
68	512	973
69	518	962
70	523	951
71	529	940
72	534	929
73	540	919
74	545	909
75	551	899
76	556	888
77	561	878
78	566	868
79	571	857
80	577	848
81	582	838
82	587	828
83	592	818
84	598	809
85	603	799
86	608	790
87	613	780
88	617	770
89	622	760
90	627	751
91	632	742
92	638	734
93	643	725
94	649	717
95	653	707
96	658	699
97	662	689
98	667	680
99	672	672
100	676	663
101	681	655
102	686	646
103	691	638
104	694	628
105	699	620
106	703	611
107	707	602
108	712	594
109	716	586
110	720	577
111	725	570
112	729	561
113	732	552
114	737	544
115	741	537
116	746	529
117	749	521
118	755	514
119	760	506
120	764	499
121	768	491
122	772	483
123	777	476
124	781	468
125	785	461
126	788	453
127	793	446
128	798	439
129	801	431
130	806	424
131	810	417
132	814	410
133	819	403
134	823	396
135	828	389
136	832	382
137	837	376
138	841	369
139	846	362
140	850	356
141	855	349
142	859	342
143	864	336
144	868	329
145	872	322
146	877	316
147	881	309
148	886	303
149	889	296
150	894	290
151	898	283
152	902	277
153	907	270
154	911	264
155	915	258
156	919	251
157	923	245
158	928	239
159	932	233
160	936	226
161	940	220
162	945	214
163	949	208
164	954	202
165	958	196
166	962	190
167	967	184
168	971	178
169	975	172
170	979	166
171	984	160
172	988	154
173	992	148
174	996	142
175	1000	136
176	1004	130
177	1009	124
178	1013	118
179	1017	113
180	1022	107
181	1026	101
182	1030	95
183	1035	90
184	1039	84
185	1043	78
186	1048	72
187	1052	67
188	1057	61
189	1061	55
190	1066	50
191	1070	44
192	1075	38
193	1079	33
194	1083	27
195	1088	22
196	1092	16
197	1097	11
198	1101	5
199	1106	0
